config,class,recall,precision,support
A_patch2_depth2_cls,0,0.9428571428571428,0.9166666666666666,35
A_patch2_depth2_cls,1,0.8918918918918919,0.8918918918918919,37
A_patch2_depth2_cls,2,0.7428571428571429,0.8125,35
A_patch2_depth2_cls,3,0.8648648648648649,0.6530612244897959,37
A_patch2_depth2_cls,4,0.8333333333333334,0.967741935483871,36
A_patch2_depth2_cls,5,0.7567567567567568,0.7,37
A_patch2_depth2_cls,6,0.9722222222222222,0.875,36
A_patch2_depth2_cls,7,0.6666666666666666,0.8571428571428571,36
A_patch2_depth2_cls,8,0.7428571428571429,0.9629629629629629,35
A_patch2_depth2_cls,9,0.7777777777777778,0.7,36
B_patch4_depth2_cls,0,0.9714285714285714,1.0,35
B_patch4_depth2_cls,1,1.0,0.9487179487179487,37
B_patch4_depth2_cls,2,0.9142857142857143,1.0,35
B_patch4_depth2_cls,3,1.0,0.9736842105263158,37
B_patch4_depth2_cls,4,0.9722222222222222,1.0,36
B_patch4_depth2_cls,5,1.0,0.9487179487179487,37
B_patch4_depth2_cls,6,1.0,0.9473684210526315,36
B_patch4_depth2_cls,7,1.0,1.0,36
B_patch4_depth2_cls,8,0.9428571428571428,0.868421052631579,35
B_patch4_depth2_cls,9,0.8333333333333334,0.967741935483871,36
C_patch2_depth4_cls,0,0.9428571428571428,0.9166666666666666,35
C_patch2_depth4_cls,1,0.8918918918918919,0.868421052631579,37
C_patch2_depth4_cls,2,0.6,0.875,35
C_patch2_depth4_cls,3,0.918918918918919,0.7727272727272727,37
C_patch2_depth4_cls,4,0.8333333333333334,0.8108108108108109,36
C_patch2_depth4_cls,5,1.0,0.9024390243902439,37
C_patch2_depth4_cls,6,0.9166666666666666,0.868421052631579,36
C_patch2_depth4_cls,7,0.8333333333333334,0.9090909090909091,36
C_patch2_depth4_cls,8,0.7714285714285715,0.7941176470588235,35
C_patch2_depth4_cls,9,0.75,0.7714285714285715,36
D_patch2_depth2_mean,0,0.9428571428571428,0.9428571428571428,35
D_patch2_depth2_mean,1,0.8648648648648649,0.8888888888888888,37
D_patch2_depth2_mean,2,0.8285714285714286,0.7837837837837838,35
D_patch2_depth2_mean,3,0.8648648648648649,1.0,37
D_patch2_depth2_mean,4,0.9166666666666666,0.8461538461538461,36
D_patch2_depth2_mean,5,1.0,0.925,37
D_patch2_depth2_mean,6,0.9444444444444444,0.8947368421052632,36
D_patch2_depth2_mean,7,0.7777777777777778,0.8,36
D_patch2_depth2_mean,8,0.9142857142857143,0.8648648648648649,35
D_patch2_depth2_mean,9,0.7777777777777778,0.9032258064516129,36
